1,35,35,18
5,55,20,0
55,57,29,0
56,63,23,0
111,51,21,0
131,58,27,0
150,48,28,0
156,55,20,0
166,62,24,0
180,52,26,0
196,50,30,0
199,48,21,0
11,30,60,1
32,31,52,1
70,37,47,1
71,37,56,1
89,26,52,1
102,37,52,1
128,30,48,1
149,25,55,1
160,26,59,1
163,35,51,1
190,30,60,1
191,30,50,1
2,41,49,2
21,45,65,2
31,40,60,2
33,35,69,2
64,27,69,2
91,31,67,2
109,31,62,2
123,42,57,2
127,27,68,2
129,43,67,2
132,37,69,2
161,40,66,2
182,31,76,2
24,55,5,3
26,65,20,3
40,60,12,3
57,53,12,3
68,67,5,3
140,59,15,3
171,66,14,3
187,54,10,3
188,60,15,3
198,50,15,3
3,35,17,4
14,30,25,4
16,30,5,4
43,24,12,4
44,23,3,4
58,32,12,4
88,28,18,4
95,26,27,4
96,25,24,4
98,25,21,4
118,27,23,4
138,32,22,4
143,21,10,4
145,30,15,4
173,26,13,4
13,50,35,5
25,65,35,5
30,64,42,5
69,56,39,5
81,56,37,5
110,52,33,5
122,62,42,5
135,61,33,5
151,56,37,5
164,62,35,5
177,41,46,5
178,55,34,5
27,45,30,6
29,41,37,6
41,40,25,6
54,37,31,6
59,36,26,6
106,40,30,6
133,38,46,6
139,45,35,6
153,36,26,6
155,45,35,6
181,43,26,6
12,20,65,7
20,15,60,7
37,2,60,7
48,8,56,7
50,6,68,7
63,24,58,7
65,15,77,7
108,17,63,7
124,16,57,7
144,5,64,7
169,9,56,7
176,17,64,7
15,15,10,8
17,10,20,8
39,5,5,8
45,11,14,8
87,4,18,8
120,13,13,8
141,5,6,8
142,10,17,8
192,12,17,8
193,15,14,8
4,55,45,9
51,47,47,9
77,49,42,9
78,53,43,9
103,49,49,9
112,42,41,9
117,52,41,9
158,50,50,9
159,55,45,9
185,50,40,9
197,51,42,9
36,63,65,10
66,62,77,10
67,49,73,10
72,57,68,10
104,52,64,10
136,62,63,10
137,63,69,10
162,55,65,10
189,47,66,10
6,15,30,11
18,5,30,11
46,6,38,11
61,17,34,11
62,12,24,11
84,14,37,11
85,11,31,11
114,5,25,11
119,17,33,11
126,7,38,11
174,11,28,11
200,12,38,11
10,55,60,12
34,53,52,12
35,65,55,12
52,49,58,12
79,61,52,12
80,57,48,12
82,55,54,12
121,57,58,12
130,58,48,12
165,62,57,12
170,62,48,12
186,55,50,12
38,20,20,13
60,21,24,13
86,16,22,13
92,15,19,13
93,22,22,13
94,18,24,13
97,22,27,13
99,19,21,13
100,20,26,13
101,18,18,13
105,20,26,13
152,22,22,13
194,16,19,13
22,45,20,14
23,45,10,14
42,42,7,14
73,47,16,14
74,44,17,14
75,46,13,14
76,49,11,14
116,36,16,14
134,46,10,14
146,39,10,14
172,44,13,14
179,35,16,14
8,20,50,15
9,10,43,15
47,2,48,15
49,13,52,15
83,15,47,15
107,21,47,15
115,12,42,15
125,8,52,15
154,21,45,15
175,7,43,15
183,22,53,15
195,21,48,15
7,25,30,16
19,20,40,16
28,35,40,16
53,27,43,16
90,26,35,16
113,31,32,16
147,32,39,16
148,25,32,16
157,33,34,16
167,21,36,16
168,33,44,16
184,26,29,16
