1,36,64,10
14,65,96,0
24,84,85,0
25,97,90,0
45,95,76,0
53,96,91,0
55,74,92,0
9,42,56,1
11,41,39,1
13,41,46,1
22,41,50,1
28,60,97,1
33,47,44,1
37,33,58,1
2,94,47,2
7,81,45,2
44,84,36,2
46,89,44,2
10,90,17,3
36,88,21,3
40,81,6,3
48,69,16,3
50,97,11,3
6,41,30,4
17,57,2,4
29,60,89,4
39,57,7,4
41,49,6,4
52,1,14,4
54,46,22,4
19,66,62,5
20,58,96,5
23,50,99,5
26,47,76,5
30,58,68,5
49,75,66,5
51,74,69,5
15,13,49,6
18,14,42,6
21,5,51,6
27,11,54,6
32,9,60,6
43,9,62,6
47,10,49,6
4,16,46,7
5,25,79,7
8,14,79,7
31,30,93,7
38,21,51,7
42,51,78,7
3,10,23,8
12,21,14,8
16,21,14,8
34,19,40,8
35,15,40,8
