1,49,53,8
2,59,1,0
14,64,2,0
27,66,2,0
47,62,8,0
4,85,57,1
8,75,63,1
11,86,58,1
15,86,64,1
17,88,58,1
19,82,64,1
25,94,62,1
28,90,58,1
31,76,64,1
43,86,58,1
44,90,62,1
26,76,68,2
32,63,33,2
42,63,35,2
48,59,35,2
7,25,69,3
16,28,72,3
35,32,74,3
41,28,74,3
49,18,88,3
50,30,76,3
5,47,21,4
10,56,26,4
13,59,27,4
23,59,29,4
24,52,24,4
30,50,22,4
34,59,31,4
36,48,24,4
39,57,27,4
40,68,6,4
6,1,21,5
9,3,7,5
12,8,8,5
21,6,10,5
22,10,24,5
37,2,30,5
38,10,8,5
46,6,28,5
3,17,83,6
18,18,90,6
20,22,92,6
29,20,84,6
33,20,84,6
45,22,90,6
